DOEID,HHSEX,HHAGE,EMPLOYHH,EDUCATION,SDESCENT,HOUSEHOLDER_RACE,NHSLDMEM,NUMCHILD,MONEYPY,TOTALBTU,TOTALDOL
103172,1,56,1,4,0,2,1,0,14,38810.72,1381.82
103173,1,55,1,4,0,1,3,1,15,123894.9,3202.48
103174,2,90,3,5,0,1,1,0,15,21936.69,689.6
103175,2,74,3,2,0,1,2,0,10,85411.22,2691.66
103176,1,71,4,1,0,1,1,0,6,94398.81,1811.51
103177,1,61,4,2,0,2,1,0,4,49810.78,1208.05
103178,1,42,4,2,0,2,7,4,1,155824.97,2843.85
103179,2,71,3,3,0,1,2,0,14,98995.06,1508.16
103180,2,53,1,4,0,1,3,0,15,61192.14,1902.69
103181,1,58,3,2,0,2,4,1,1,144419.56,2045.34
103182,1,77,3,2,0,1,1,0,6,49851.49,1760.47
103183,1,56,1,5,0,1,3,1,13,137080.09,1953.68
103184,1,71,3,4,0,1,2,0,16,157898.76,2204.68
103185,2,40,1,2,0,6,1,0,13,38632.74,1204.75
103186,2,60,3,4,0,1,2,0,10,47884.49,2509.07
103187,1,35,2,3,1,1,4,2,14,86971.43,1223.95
103188,1,82,4,3,0,1,2,0,13,90581.95,1809.3
103189,1,82,3,2,0,1,1,0,13,107590.57,1810.6
103190,2,50,1,5,0,1,2,0,16,131684.6,2031.49
103191,2,63,3,3,0,1,2,0,14,120562.0,1711.9
103192,1,72,3,3,0,1,2,0,1,37300.99,1208.63
103193,2,29,1,5,0,1,1,0,13,54955.06,1269.21
103194,1,58,2,4,0,1,3,0,13,70532.83,1746.65
103195,2,45,1,2,0,1,2,0,14,78712.7,2168.6
103196,2,55,1,5,0,1,2,0,16,135166.24,2610.23
103197,1,59,1,3,0,2,7,4,14,173046.34,2648.97
103198,1,64,3,3,0,2,1,0,7,7665.08,470.73
103199,1,73,3,5,0,1,1,0,14,50912.65,1074.92
103200,1,60,2,5,0,1,2,0,15,209642.01,5786.27
103201,2,23,1,4,0,1,2,0,8,11589.73,456.5
103202,2,55,2,4,0,1,1,0,11,44472.08,935.53
103203,1,22,4,3,0,1,3,1,8,61824.01,1846.76
103204,1,74,3,4,0,1,2,0,11,101937.17,1277.81
103205,1,90,4,1,0,6,7,0,1,81892.81,1436.32
103206,1,55,4,4,0,1,2,0,16,122409.94,2384.59
103207,2,73,3,2,0,2,2,0,2,60380.16,2310.24
103208,1,67,3,3,0,1,2,0,12,100138.47,1801.41
103209,1,30,1,4,0,1,3,1,14,82939.2,3128.2
103210,1,49,1,5,1,1,2,0,14,45341.48,1458.09
103211,1,48,1,4,0,1,1,0,12,28455.11,945.87
